metric_name,category,type,unit,series_count,redfish_series_count,inband_series_count,label_names,help
c37_temp_hist_r4_second_total,温度/Temperature,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Temperature histogram range 4 (43-50C) counter for core 37
c37_temp_hist_r5_second_total,温度/Temperature,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Temperature histogram range 5 (50.5-57.5C) counter for core 37
c37_temp_hist_r6_second_total,温度/Temperature,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Temperature histogram range 6 (58-65C) counter for core 37
c37_temp_hist_r7_second_total,温度/Temperature,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Temperature histogram range 7 (65.5-72.5C) counter for core 37
c37_temp_hist_r8_second_total,温度/Temperature,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Temperature histogram range 8 (73-80C) counter for core 37
c37_temp_hist_r9_second_total,温度/Temperature,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Temperature histogram range 9 (80.5-87.5C) counter for core 37
c37_usage_meter_core_usage_total,使用量与驻留/Usage & Residency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Accumulated relative usage level for core 37 (experimental). This counter is not retained on processor reset
c37_volt_hist_r0_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 0 (less then 602mV) counter for core 37
c37_volt_hist_r10_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 10 (1097.5-1152mV) counter for core 37
c37_volt_hist_r11_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 11 (greater then 1152mV) counter for core 37
c37_volt_hist_r1_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 1 (602.5-657mV) counter for core 37
c37_volt_hist_r2_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 2 (657.5-712mV) counter for core 37
c37_volt_hist_r3_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 3 (712.5-767mV) counter for core 37
c37_volt_hist_r4_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 4 (767.5-822mV) counter for core 37
c37_volt_hist_r5_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 5 (822.5-877mV) counter for core 37
c37_volt_hist_r6_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 6 (877.5-932mV) counter for core 37
c37_volt_hist_r7_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 7 (932.5-987mV) counter for core 37
c37_volt_hist_r8_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 8 (987.5-1042mV) counter for core 37
